150,1.350234922,,50,1.437911523,,150,50,1.425311825,,200,50,1.4012167,,250,50,1.375911112,,300,100,1.42604216,,350,100,1.328943438,,400,100,1.415772611,,450,100,1.454515527,,500,100,1.386294134,,550,100,1.383635471,,600,50,1.417493392,,650,150,1.395921799,,700,100,1.37363375, ,750,50,1.430260848,,800,100,1.435932238, ,850,100,1.429855201,,900,50,1.440126018,,950,50,1.434375218,,1000,150,1.377157076
200,1.37433558,,100,1.451652243,,150,100,1.348351729,,200,100,1.437843503,,250,100,1.335898341,,300,300,1.365453652,,350,200,1.382108564,,400,150,1.378614898,,450,150,1.374477027,,500,150,1.386976774,,550,200,1.41372469,,600,100,1.377701754,,650,200,1.435861979,,700,150,1.394842517,,750,100,1.377541432,,800,150,1.366524972,,850,150,1.384033976,,900,100,1.362394651,,950,100,1.373483964,,1000,200,1.388545475
250,1.39737929,,150,1.389955493,,150,150,1.403627324,,200,150,1.404681414,,250,150,1.395741139,,300,350,1.445253492,,350,300,1.344864211,,400,200,1.379030074,,450,200,1.404168683,,500,200,1.415032158,,550,250,1.45248803,,600,200,1.399695992,,650,250,1.317096207,,700,200,1.405108025,,750,150,1.416943597,,800,200,1.401062019,,850,200,1.390010629,,900,200,1.394328165,,950,150,1.383628337,,1000,250,1.449766663
350,1.366914235,,200,1.451493742,,150,200,1.356559641,,200,200,1.363136451,,250,200,1.390129165,,300,400,1.334570599,,350,350,1.356707576,,400,250,1.413194195,,450,250,1.458574715,,500,250,1.455521938,,550,300,1.333787992,,600,250,1.450408401,,650,300,1.421220557,,700,250,1.403668647,,750,200,1.395962523,,800,250,1.328424363,,850,250,1.434877315,,900,250,1.408362333,,950,200,1.400869778,,1000,300,1.397343367
400,1.419073203,,250,1.416553247,,150,250,1.422953719,,200,250,1.395563348,,250,250,1.390763868,,300,500,1.394270872,,350,400,1.356441512,,400,300,1.338970119,,450,300,1.323830464,,500,300,1.423877732,,550,350,1.356293326,,600,300,1.421734988,,650,350,1.355325087,,700,300,1.415798977,,750,250,1.452922745,,800,300,1.317869422,,850,300,1.414321714,,900,300,1.418278536,,950,250,1.434221831,,1000,350,1.385338006
450,1.41490116,,300,1.390487075,,150,300,1.382799505,,200,300,1.416753134,,250,300,1.369050364,,300,550,1.412769368,,350,450,1.459666656,,400,350,1.358991238,,450,350,1.358314533,,500,350,1.356712189,,550,400,1.34951652,,600,350,1.355327518,,650,400,1.436673022,,700,350,1.354025736,,750,300,1.419544679,,800,350,1.386928472,,850,350,1.385893386,,900,350,1.385848741,,950,300,1.400835635,,1000,450,1.352668478
500,1.398224518,,400,1.37442027,,150,350,1.36366437,,200,350,1.35401319,,250,350,1.349729652,,300,600,1.429720485,,350,500,1.413591245,,400,400,1.354597958,,450,400,1.441094179,,500,400,1.351687329,,550,450,1.358486665,,600,400,1.436687489,,650,450,1.358691301,,700,400,1.358901974,,750,350,1.387107349,,800,400,1.452332674,,850,400,1.452133132,,900,400,1.35817112,,950,350,1.385412362,,1000,500,1.364007413
550,1.404561082,,450,1.370698945,,150,400,1.33226662,,200,400,1.417584761,,250,400,1.419204926,,300,650,1.312962676,,350,550,1.396069868,,400,450,1.362998035,,450,450,1.456297814,,500,450,1.360545765,,550,500,1.410524756,,600,450,1.357724469,,650,500,1.363571706,,700,450,1.357034392,,750,400,1.358692427,,800,450,1.355963946,,850,450,1.35534657,,900,450,1.35533367,,950,400,1.357529709,,1000,550,1.335720791
600,1.37949275,,500,1.34624783,,150,450,1.358677205,,200,500,1.43857729,,250,450,1.37748786,,300,700,1.420968504,,350,600,1.429002605,,400,500,1.391454705,,450,500,1.412023214,,500,500,1.390288513,,550,550,1.387540275,,600,500,1.388263907,,650,550,1.386908476,,700,500,1.363464643,,750,450,1.451956945,,800,550,1.385514957,,850,550,1.335974523,,900,500,1.421951613,,950,450,1.353978304,,1000,600,1.392661767
650,1.437003066,,550,1.408738844,,150,500,1.337864966,,200,550,1.361957167,,250,500,1.33884484,,300,750,1.337746706,,350,650,1.435227709,,400,550,1.411142339,,450,550,1.41009706,,500,550,1.393484031,,550,600,1.392784432,,600,550,1.387158327,,650,600,1.391638005,,700,550,1.386135505,,750,500,1.362946036,,800,600,1.394370347,,850,600,1.394352989,,900,550,1.335839956,,950,500,1.362130827,,1000,650,1.376256086
700,1.405993209,,600,1.356614782,,150,550,1.399626876,,200,600,1.372536809,,250,550,1.417294472,,300,800,1.39436848,,350,700,1.336870807,,400,600,1.427271528,,450,600,1.420395393,,500,600,1.393339022,,550,650,1.422957863,,600,600,1.39230749,,650,650,1.430717211,,700,600,1.391150286,,750,550,1.386051669,,800,650,1.401174642,,850,650,1.401161592,,900,600,1.393730343,,950,550,1.433519899,,1000,700,1.369797851
750,1.360844616,,650,1.336342974,,150,600,1.378089117,,200,650,1.387067323,,250,600,1.434983577,,300,850,1.348690241,,350,750,1.33636215,,400,650,1.434456734,,450,650,1.433022472,,500,650,1.423138257,,550,700,1.37420988,,600,650,1.422295545,,650,700,1.373316022,,700,650,1.399550938,,750,600,1.389612259,,800,700,1.371243082,,850,700,1.370843668,,900,650,1.400027122,,950,600,1.387711279,,1000,750,1.378977773
800,1.398068281,,700,1.441234745,,150,650,1.393895172,,200,700,1.382266988,,250,650,1.438520367,,300,900,1.313251813,,350,800,1.397694054,,400,700,1.376288261,,450,700,1.37558119,,500,700,1.374811151,,550,750,1.329344942,,600,700,1.374022533,,650,750,1.334784037,,700,700,1.372028511,,750,650,1.401521504,,800,750,1.382219693,,850,750,1.381491849,,900,700,1.370186111,,950,650,1.377053494,,1000,800,1.394799111
850,1.375766392,,750,1.385735132,,150,700,1.388938095,,200,750,1.341191271,,250,700,1.422829447,,300,950,1.349555797,,350,850,1.392645476,,400,750,1.389247913,,450,750,1.388288389,,500,750,1.387029513,,550,800,1.407543854,,600,750,1.425897277,,650,800,1.398056826,,700,750,1.424664927,,750,700,1.371482489,,800,800,1.396673927,,850,800,1.39115949,,900,750,1.380852186,,950,700,1.369899726,,1000,850,1.337132086
900,1.364490516,,800,1.438414442,,150,750,1.378143389,,200,800,1.392322928,,250,750,1.339154238,,300,1000,1.331795813,,350,900,1.360717638,,400,800,1.39671679,,450,800,1.396126705,,500,800,1.314800711,,550,850,1.343049721,,600,800,1.411025569,,650,850,1.342550135,,700,800,1.393185424,,750,750,1.382896726,,800,850,1.340100017,,850,850,1.339819992,,900,800,1.39091189,,950,750,1.379992234,,1000,900,1.351543153
950,1.386217967,,850,1.386794127,,150,800,1.385345046,,200,850,1.351733641,,250,800,1.390520073,,,,,,350,950,1.348340496,,400,850,1.380385288,,450,850,1.390319874,,500,850,1.379222693,,550,900,1.356626476,,600,850,1.342867439,,650,900,1.355296507,,700,850,1.341501901,,750,800,1.397074047,,800,900,1.353961443,,850,900,1.353099522,,900,850,1.338109534,,950,800,1.390107797,,1000,950,1.416415658
1000,1.3691818,,900,1.412948952,,150,850,1.378185105,,200,900,1.401984074,,250,850,1.349962479,,,,,,350,1000,1.319858087,,400,900,1.359760103,,450,900,1.359084733,,500,900,1.357454195,,550,950,1.419609802,,600,900,1.355884708,,650,950,1.421396205,,700,900,1.355004912,,750,850,1.341009733,,800,950,1.418768026,,850,950,1.4186141,,900,900,1.352756598,,950,850,1.337845934,,1000,1000,1.398635813
,,,950,1.370699217,,150,900,1.404293319,,200,950,1.358581496,,250,900,1.401003138,,,,,,,,,,400,950,1.347797399,,450,950,1.346961106,,500,950,1.422922487,,550,1000,1.410823653,,600,950,1.422278113,,650,1000,1.413383737,,700,950,1.421063605,,750,900,1.354491454,,800,1000,1.405871545,,850,1000,1.400200954,,900,950,1.417846537,,950,900,1.352227944,,,,
,,,1000,1.352698069,,150,950,1.362216664,,200,1000,1.344139871,,250,950,1.357266623,,,,,,,,,,400,1000,1.415464828,,450,1000,1.412118801,,500,1000,1.407043723,,,,,,600,1000,1.405352239,,,,,,700,1000,1.41263374,,750,950,1.420476023,,,,,,,,,,900,1000,1.404241379,,950,950,1.414178052,,,,
,,,,,,150,1000,1.34648642,,,,,,250,1000,1.34167595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,1000,1.401961769,,,,,,,,,,,,,,950,1000,1.403923664,,,,
